Title,Automation Status,Pre conditions,Steps (Step),Steps (Expected Result),Type,Reference,QA Priority,Module,Owner,Release
"Verify ""show all children"" checkbox is removed from the Executions table",Not Automated,User is logged in to SnapLogic Manager and has permission to view executions,"1. Navigate to Manager > Analyze > Executions
2. Look at the executions table toolbar / filter area
3. Inspect the table options where the checkbox previously existed","1. Executions page loads successfully
2. The ""show all children"" checkbox is NOT present anywhere on the page
3. No leftover label, tooltip, or empty space remains where the checkbox used to be",Functional,APP-1620 / PR #5494,P1,Manager - Executions,QA Lead,4.45
Verify Children tab appears only when the pipeline has child pipelines,Not Automated,At least one parent pipeline with child pipelines has executed; one standalone pipeline (no children) has executed,"1. Open Run Info pushout for the parent pipeline (with children)
2. Observe the available tabs in the pushout
3. Close pushout and open Run Info pushout for the standalone pipeline (no children)
4. Observe the available tabs","1. Pushout opens for parent pipeline
2. ""Children"" tab is visible alongside Statistics, Logs, etc.
3. Pushout opens for the standalone pipeline
4. ""Children"" tab is NOT shown; only the default tabs (Statistics, Logs, etc.) are visible",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Children Tab,QA Lead,4.45
Verify Children tab lists all immediate child pipeline executions in a flat list,Not Automated,A parent pipeline with multiple direct children has finished execution,"1. Open Run Info pushout for the parent pipeline
2. Click the ""Children"" tab
3. Verify the list rendered","1. Pushout opens
2. Children tab is selected and shows a flat list of child executions
3. Every direct child of the parent is listed; the parent row itself is filtered out from the results",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Children Tab,QA Lead,4.45
"Verify Children tab columns (Pipeline name, Status, Documents, etc.) populate correctly",Not Automated,Parent pipeline with children has run; children produced output documents,"1. Open Run Info pushout > Children tab for the parent pipeline
2. Inspect each column for the listed children","1. Pipeline name (label) is populated for every row
2. Status column shows correct execution state (Completed/Failed/Stopped/Running)
3. Documents column shows the document count for each child
4. All other configured columns render valid data (no blanks/undefined)",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Children Tab,QA Lead,4.45
Verify sorting works on the Children tab columns,Not Automated,"Parent pipeline with multiple children of varying names, statuses, and document counts","1. Open Children tab
2. Click on the Pipeline name column header
3. Click again to reverse sort
4. Repeat for Status and Documents columns","1. Tab opens
2. Rows sort ascending by pipeline name
3. Rows sort descending by pipeline name
4. Status and Documents columns sort correctly in both directions; sort indicator is visible on the active column",Functional,APP-1620 / PR #5494,P2,Run Info Pushout - Children Tab,QA Lead,4.45
Verify filtering by pipeline name on the Children tab,Not Automated,Parent pipeline with at least 5 children with distinct names,"1. Open Children tab
2. Enter a partial pipeline name in the filter input
3. Clear the filter","1. Children tab loads
2. List narrows to rows whose pipeline name matches the substring (case-insensitive)
3. Full list is restored when filter is cleared",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Children Tab,QA Lead,4.45
Verify filtering by Status on the Children tab,Not Automated,"Parent pipeline with children in mixed statuses (Completed, Failed, Stopped)","1. Open Children tab
2. Apply Status filter = Completed
3. Apply Status filter = Failed
4. Clear filter","1. Tab opens
2. Only Completed children are listed
3. Only Failed children are listed
4. All children re-appear when filter is cleared",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Children Tab,QA Lead,4.45
Verify clicking a child row in the Children tab navigates the pushout to the child,Not Automated,Parent pipeline with at least one child execution,"1. Open Run Info pushout for parent
2. Open Children tab
3. Click on any child row","1. Pushout opens
2. Children tab displays the children
3. Pushout content updates to the selected child's Run Info; previous (parent) view is replaced; breadcrumb header now shows the parent as ancestor",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Navigation,QA Lead,4.45
Verify breadcrumb is shown in the pushout header when viewing a child pipeline,Not Automated,Parent and child pipelines have executed,"1. Drill from parent pushout into child via Children tab
2. Observe the pushout header","1. Pushout navigates to child
2. Breadcrumb component is visible at the header showing the full hierarchy path (parent > child); current pipeline segment is shown but not styled as a clickable link",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Breadcrumb,QA Lead,4.45
Verify each breadcrumb segment is clickable and navigates to that ancestor,Not Automated,3-level pipeline hierarchy (grandparent > parent > child) has executed,"1. Open child pipeline pushout (drill via Children tab from grandparent)
2. Click on the parent crumb in the breadcrumb
3. Click on the grandparent crumb","1. Child pushout shown with full breadcrumb (grandparent > parent > child)
2. Pushout navigates to parent's Run Info; breadcrumb shortens accordingly
3. Pushout navigates to grandparent's Run Info; breadcrumb shows only grandparent",Functional,APP-1620 / PR #5494,P1,Run Info Pushout - Breadcrumb,QA Lead,4.45
